,NetID,FlowID,runTimeLUDB(ns)
809,10, 98,12997262917
938,10, 175,13029080327
1946,17, 176,13045615297
2372,24, 88,13053331143
2896,27, 177,13063628472
3678,28, 68,13163674029
1146,12, 79,13192098780
2642,24, 334,13259058846
929,10, 122,13298228844
3788,29, 29,13322882006
2984,27, 231,13336227398
3567,28, 333,13370576482
2465,24, 383,13399523056
2435,24, 282,13450241766
90,3, 41,13489232159
3780,29, 37,13517249931
3048,27, 319,13542695911
1278,12, 25,13568352051
2190,19, 40,13601006731
2139,18, 149,13621172954
2461,24, 340,13649285506
147,3, 3,13673178839
2109,18, 164,13692074893
903,10, 76,13721548817
517,8, 234,13782403893
1377,13, 233,13817378909
340,8, 138,13861780918
3289,27, 384,13905425064
126,3, 180,13962584565
1067,10, 205,14054480572
2232,19, 121,14121214542
907,10, 436,14148599203
244,3, 219,14204915261
347,8, 205,14213299201
76,3, 121,14222542712
1299,12, 163,14247932125
462,8, 59,14261215241
920,10, 231,14274008717
3173,27, 201,14321073475
555,8, 228,14366520413
1041,10, 361,14386397128
3122,27, 64,14400540551
4353,32, 48,14463487210
1325,13, 32,14536151291
3461,28, 427,14610432736
465,8, 67,14645435517
1880,17, 15,14683881882
4208,32, 108,14702089481
1719,17, 206,14719296926
2137,18, 96,14728726356
3811,29, 75,14733988248
541,8, 26,14748743294
3785,29, 26,14789765322
1718,17, 73,14815910059
2623,24, 274,14867143936
838,10, 203,14882721213
769,10, 25,14942373880
3881,29, 56,15018880035
343,8, 224,15032831883
2565,24, 79,15066233616
732,10, 370,15119969058
900,10, 119,15145219258
2561,24, 319,15277283552
260,3, 150,15335167004
2691,24, 416,15336707380
2235,19, 57,15377927405
3337,28, 36,15429592276
1075,10, 52,15468934212
835,10, 135,15496346376
1853,17, 147,15517018684
1340,13, 15,15545510919
1959,17, 278,15576483534
4180,32, 198,15645320852
3566,28, 279,15669395238
679,10, 286,15686296327
78,3, 104,15698300858
933,10, 384,15721244398
388,8, 52,15746662856
1866,17, 96,15765869753
2717,24, 201,15790750601
657,10, 264,15806744278
1709,17, 145,15831005853
1769,17, 146,15843232287
1368,13, 80,15858002448
1385,13, 156,15871278226
2609,24, 70,15914725544
2452,24, 39,15934164150
787,10, 383,15945003605
2608,24, 90,15962868191
2037,18, 6,15970081065
740,10, 378,15978161667
994,10, 140,15983677615
3130,27, 176,16105082381
741,10, 275,16133684860
913,10, 351,16159380805
2794,26, 27,16216646442
3025,27, 243,16261703857
4253,32, 46,16316973586
3142,27, 271,16354652343
4459,34, 33,16367272513
3099,27, 335,16413117917
516,8, 130,16463127298
730,10, 114,16467350882
792,10, 146,16479188219
3288,27, 67,16523958773
3197,27, 358,16545288874
4418,34, 40,16551063271
728,10, 228,16686519637
1006,10, 155,16741983811
1691,17, 169,16758704420
4252,32, 79,16794979414
563,8, 112,16809694562
3304,27, 401,16837853604
1001,10, 95,16867251120
3112,27, 225,16951630166
406,8, 81,17015747422
3191,27, 154,17026307180
1024,10, 58,17060682944
2577,24, 130,17088643689
2509,24, 389,17112207419
4129,32, 110,17117367473
3866,29, 93,17204105214
3011,27, 152,17233094594
4146,32, 72,17278927620
74,3, 110,17292172103
2063,18, 170,17352683352
4172,32, 70,17467436288
4149,32, 180,17483416116
3815,29, 16,17542168999
3830,29, 88,17608040780
4225,32, 62,17626125007
2095,18, 108,17699264389
1329,13, 60,17720519163
931,10, 400,17761047689
3460,28, 323,17821799447
507,8, 37,17862327926
1936,17, 189,17911393707
341,8, 272,18014758112
2110,18, 79,18091858315
2061,18, 85,18154081084
597,8, 98,18170436681
3862,29, 87,18270385812
2507,24, 234,18291178381
1493,13, 43,18401873335
1708,17, 249,18438921324
2304,19, 80,18477391464
3064,27, 289,18511003188
669,10, 212,18560818274
3369,28, 408,18634290955
1783,17, 130,18646421473
3635,28, 29,18668828731
3641,28, 429,18696107290
1773,17, 203,18838667351
1814,17, 267,18855460313
2937,27, 222,18921735055
1383,13, 20,19038681817
490,8, 145,19043945798
1364,13, 1,19090048651
170,3, 167,19143801817
1231,12, 165,19176277629
3549,28, 412,19251145937
3481,28, 231,19325364879
103,3, 102,19405759241
1554,13, 99,19412187880
1311,13, 176,19442269797
53,3, 92,19511969357
4276,32, 98,19663044653
593,8, 100,19716472157
2517,24, 292,19814451680
3489,28, 249,19874967538
2495,24, 60,19913710956
424,8, 111,19937846404
2122,18, 135,19956004428
3848,29, 104,20058518947
2484,24, 87,20112347303
331,8, 126,20141244462
2031,18, 187,20220965765
3659,28, 121,20262428761
419,8, 82,20304305266
2998,27, 370,20338110555
1922,17, 161,20347383985
452,8, 267,20413699724
4148,32, 118,20443433950
2011,18, 20,20586213700
237,3, 33,20676655917
1829,17, 217,20807776326
