,NetID,FlowID,runTimeLUDB(ns)
1272,12, 152,15032357300
270,3, 39,15065794853
719,10, 112,15112343343
1039,10, 127,15121625794
799,10, 270,15221855676
590,8, 167,15308732780
355,8, 87,15336099703
986,10, 153,15347421285
833,10, 376,15403955271
1455,13, 224,15460394114
2352,24, 125,15481485268
980,10, 241,15511637975
1083,10, 97,15542252843
2670,24, 385,15552309940
2048,18, 54,15625401529
2651,24, 126,15660410600
4343,32, 17,15679624727
4300,32, 159,15686411668
663,10, 344,15705348334
1202,12, 93,15722092685
3504,28, 394,15760794595
3070,27, 393,15788368130
943,10, 211,15791155509
1882,17, 120,15824804136
2220,19, 6,15831764280
759,10, 126,15851258015
2554,24, 46,15864911362
2957,27, 141,15886510734
4467,34, 47,15929178458
1528,13, 148,15934912688
110,3, 213,15947559993
2424,24, 197,15964907013
1756,17, 179,15971968925
134,3, 115,15978784032
2610,24, 112,16099613865
1407,13, 143,16114317653
724,10, 91,16141213376
2010,18, 180,16197162209
87,3, 215,16231071873
3744,28, 391,16286884201
3790,29, 61,16353767302
3507,28, 3,16365233091
2584,24, 214,16389986109
4256,32, 218,16458928465
3424,28, 114,16465795134
4464,34, 25,16475679675
2936,27, 383,16489038996
3200,27, 350,16537980546
3124,27, 59,16545722297
3227,27, 123,16642158165
1951,17, 90,16734727404
2544,24, 328,16756009941
2445,24, 314,16770996316
1879,17, 207,16806091352
3697,28, 142,16832288591
2701,24, 287,16838535156
2368,24, 299,16880877708
2523,24, 35,16956999985
1369,13, 230,17019510394
1696,17, 271,17039403794
3841,29, 73,17082085401
4323,32, 0,17112137568
3514,28, 123,17116856676
2442,24, 146,17150748854
435,8, 218,17220703531
1441,13, 94,17267303074
664,10, 181,17285262452
830,10, 79,17317893864
3344,28, 122,17367371319
2983,27, 403,17472943821
912,10, 251,17500062540
3711,28, 439,17562599315
1895,17, 50,17624468629
120,3, 70,17646687439
3327,28, 224,17703773205
1178,12, 16,17731083559
1974,18, 129,17801983798
2130,18, 123,17853317400
2560,24, 74,17886659459
2759,24, 151,17986778019
1970,18, 179,18057980815
2066,18, 21,18141744822
2165,18, 143,18161009247
2451,24, 333,18204416999
1437,13, 114,18275300503
3162,27, 185,18382872764
2116,18, 104,18410443481
460,8, 124,18446599155
356,8, 226,18488172319
2635,24, 235,18537820958
3802,29, 10,18564715611
561,8, 153,18639310244
3552,28, 158,18661107268
2722,24, 150,18680030312
4270,32, 134,18790440198
1318,13, 175,18848980261
3269,27, 84,18870899125
1941,17, 191,18988033557
4244,32, 111,19040521292
4188,32, 208,19046181339
3882,29, 39,19092642298
4160,32, 153,19158733178
2282,19, 106,19216293998
3503,28, 63,19317542684
4138,32, 217,19339649967
1390,13, 205,19409370738
1778,17, 65,19431241793
124,3, 6,19482021024
4161,32, 235,19619738315
3604,28, 406,19694870549
2719,24, 216,19762164638
2099,18, 115,19851242100
2117,18, 106,19907759992
3610,28, 441,19928660109
144,3, 168,19951155994
397,8, 238,20044929414
372,8, 134,20097490793
467,8, 254,20125269636
52,3, 82,20211350078
1150,12, 78,20225962372
261,3, 9,20269773273
4351,32, 32,20312312035
1872,17, 78,20339810350
1326,13, 241,20381842531
665,10, 276,20419672900
653,9, 12,20477748489
344,8, 245,20635979989
3400,28, 31,20800970312
3753,28, 149,20827302420
2596,24, 306,20884465471
172,3, 90,20966315704
2573,24, 352,21101397702
4185,32, 177,21170236834
514,8, 213,21179881979
1386,13, 126,21228887729
1875,17, 280,21292211633
1415,13, 209,21379939772
56,3, 184,21384483657
2516,24, 78,21486162368
136,3, 119,21551720045
684,10, 24,21581154821
2167,18, 35,21652102857
1540,13, 180,21670151103
955,10, 367,21738751699
2365,24, 404,21843688804
2620,24, 4,21872695190
351,8, 76,21898875466
1434,13, 214,21912895717
2456,24, 186,21947428414
2057,18, 48,22028318899
1506,13, 164,22076861430
2550,24, 148,22215652194
3646,28, 20,22288625003
3877,29, 129,22337232256
1015,10, 405,22351427024
2012,18, 137,22396926667
566,8, 117,22432244500
2100,18, 50,22478551567
1716,17, 53,22528858101
775,10, 198,22625675206
2545,24, 393,22654395028
3867,29, 46,22696345706
831,10, 293,22726996898
908,10, 187,22888426065
2652,24, 73,22931461557
4301,32, 1,22981673917
3836,29, 27,23058202844
4285,32, 197,23178976877
146,3, 117,23277093488
73,3, 106,23333609052
461,8, 22,23440574366
149,3, 130,23617039750
2733,24, 298,23637934119
666,10, 374,23740292224
1293,12, 104,23807284563
2739,24, 108,23896835134
4287,32, 219,23931298682
167,3, 29,23964406574
795,10, 257,24023817786
971,10, 154,24062355481
2428,24, 269,24085465602
824,10, 389,24201382685
1535,13, 144,24230861850
3734,28, 395,24332452944
1045,10, 66,24426778506
583,8, 80,24618959924
2990,27, 346,24650999887
1043,10, 48,24906723710
910,10, 129,24995814137
2948,27, 12,25082858613
2488,24, 190,25134672563
1754,17, 118,25312118342
737,10, 197,25375674873
411,8, 29,25448271476
3250,27, 359,25452679470
474,8, 78,25646744063
572,8, 66,25787373056
2551,24, 244,25884767474
2906,27, 24,26020636854
773,10, 427,26112302115
3340,28, 266,26214797216
3318,28, 345,26243834112
3633,28, 409,26351051367
552,8, 161,26396618499
3746,28, 136,26443851526
735,10, 262,26527545664
3540,28, 221,26715261039
417,8, 108,26797789927
3533,28, 238,26956583478
1301,12, 157,26970786491
549,8, 137,27106407318
2292,19, 88,27191444072
2205,19, 1,27212255486
3640,28, 316,27384828127
3605,28, 346,27474129231
2939,27, 303,27577265848
1987,18, 98,27871774881
631,9, 43,27989862375
1898,17, 66,28070627482
1496,13, 216,28091751982
3015,27, 405,28102845281
379,8, 54,28175723004
2290,19, 90,28442778293
3548,28, 349,28555866533
668,10, 162,28558484946
3827,29, 43,28605702269
1830,17, 252,28710198445
2026,18, 22,28868123587
57,3, 99,28951569567
2016,18, 142,28988716971
1304,13, 231,29022786680
2568,24, 331,29251574744
185,3, 14,29347200460
2521,24, 313,29601734419
600,8, 257,29703725995
2564,24, 311,29932513113
4217,32, 36,30033893364
82,3, 81,30062019498
3311,27, 27,30256461607
1335,13, 48,30467661184
2018,18, 151,30524596848
2166,18, 23,30643417296
3671,28, 87,30780291072
2909,27, 348,30996762030
1088,10, 151,31089691456
3505,28, 319,31174465713
3494,28, 1,31346625026
4271,32, 187,31486394241
2708,24, 371,31507776259
909,10, 422,31834706464
2432,24, 20,31973905022
3798,29, 125,32310143210
2528,24, 265,32382161601
